Unit,Name
ECON2233,Microeconomics: Policy and Applications Standard
ECON2234,Macroeconomics: Policy and Applications Standard
ECON2245,Business Economics Standard
ECON2271,Business Econometrics Standard
ECON3210,Monetary Economics Standard
ECON3220,Development Economics Standard
ECON3235,International Trade Standard
ECON3236,International Finance Standard
ECON3272,Intermediate Mathematics for Economists Standard
ECON3300,Agricultural Economics and Marketing Standard
ECON3301,Game Theory and Strategic Thinking Standard
ECON3302,Applied Microeconomics Standard
ECON3303,Applied Macroeconomics Standard
ECON3310,History of Economic Ideas Standard
ECON3323,Business and the Environment Standard
ECON3350,Money Banking and Financial Markets Standard
ECON3371,Econometrics Standard
ECON3395,Economic Policy Standard
ECON4401,Applied Econometrics and Research Methods Standard
ECON4405,Public Economics Standard
ECON4408,Advanced Development Economics Standard
ECON4410,Environmental and Resource Economics
ECON4413,Applied Advanced Econometrics Standard
ECON4415,International Finance and Markets Standard
ECON4418,Macroeconomic Theory Standard
ECON4450,Advanced International Trade Standard
ECON4486,Dissertation (Economics) Part 1 Standard
ECON4503,Advanced Economic Analysis Standard
ECON4504,Advanced Quantitative Economics Standard
ECON5001,Contemporary Issues in Economic Development
ECON5002,Agriculture and Economic Development
ECON5503,Economic Management and Strategy
ECON5504,Global Energy and Mineral Markets
ECON5506,The Economics of Financial Markets Standard
ECON5510,Consumer Behaviour and Demand Analysis
ECON5511,Climate Energy and Water Economics
ECON5541,Economics for Business: Applications and Policy Standard
EDUC1102,Learning Effectively: Improving Your Learning and Teaching Standard
EDUC1103,Education for a Global Knowledge Society Standard
EDUC5429,Perspectives in Aboriginal Education Standard
EDUC5454,Learning Difficulties Standard
EDUC5460,English Curriculum I Standard
EDUC5468,Special Education Curriculum I Standard
EDUC5481,Professional Practice I
EDUC5482,Professional Practice II
EDUC5485,Development Teaching and Learning: Theory and Practice Standard
EDUC5492,Understanding and Managing Disruptive Behaviour Disorders Standard
EDUC5500,Professional Practice B
EDUC5546,Teaching Contexts Standard
EDUC5608,Integrating Pedagogy and Technology
EDUC5639,Childhood and Adolescent Developmental Psychopathology CRAWLEY
EDUC5642,Leading Teaching and Learning CRAWLEY
EDUC5643,Leading Assessment and Accountability CRAWLEY
EDUC5644,Leading the Aligned School
EDUC5645,Leading Curriculum Innovation
EDUC5658,Education Policy Trends: Global to Local
ELEC4402,Communications Systems
ELEC5501,Advanced Communications Standard
ELEC5502,Analogue Electronics Standard
ELEC5505,Power System Analysis Standard
ELEC5551,Electrical and Electronic Engineering Design Project 1 Standard
ELEC5552,Electrical and Electronic Engineering Design Project 2 Standard
EMPL1101,Introduction to Employment Relations Standard
EMPL1206,Social Psychology of Work Standard
EMPL2202,Australian Employment Relations Standard
EMPL3241,International Employment Relations Standard
EMPL3270,Negotiation: Theory and Practice Standard
EMPL3301,Globalisation and Work Standard
EMPL5501,Strategic Workplace Relations Standard
EMPL5514,Negotiation and Dispute Resolution
ENGL1002,Fact and Fabrication: the Revelations of Literature Standard
ENGL1401,Page and Screen: Fiction in the Digital Age Standard
ENGL1501,Reading Creatively/ Writing Creatively Standard
ENGL1902,Reading Bodies Standard
ENGL3003,The Arthurian Legend Standard
ENSC1001,Global Challenges in Engineering Standard
ENSC1002,Material Behaviour from Atoms to Bridges Standard
ENSC2001,Motion Standard
ENSC2002,Energy Standard
ENSC3001,Mechanisms and Machines Standard
ENSC3002,Materials and Manufacturing Standard
ENSC3004,Solid Mechanics Standard
ENSC3005,Mass and Energy Balances Standard
ENSC3009,Geomechanics Standard
ENSC3010,Hydraulics Standard
ENSC3011,Resource Extraction Technologies Standard
ENSC3014,Electronic Materials and Devices Standard
ENSC3017,Circuits and Electronics Standard
ENVE4401,Contaminant Fate and Transport Standard
ENVE4402,Hydrology Standard
ENVE4403,Fluid Transport Mixing and Dispersion Standard
ENVE4405,Eco-engineering Standard
ENVE5502,Wastewater Treatment and Reuse
ENVT2220,The Climate System Standard
ENVT2221,Global Climate Change and Biodiversity Standard
ENVT2250,Ecology Standard
ENVT2251,Environmental Hydrology Standard
ENVT3306,Coastal Conservation and Management Standard
ENVT3361,Environmental Assessment Standard
ENVT3362,Environmental Modelling Standard
ENVT3363,Ecological Processes Standard
ENVT4401,Advanced Land Use and Management
ENVT4402,Analysis for Natural Resource Management
ENVT4404,Environmental Planning and Management
ENVT4411,Geographic Information Systems Applications
ENVT5001,Biotechnology in the Natural Environment
ENVT5503,Remediation of Soils and Groundwater
ENVT5510,Soil Dynamics
ENVT5511,Advanced Geographic Information Systems for Environmental Management
EURO1101,Contemporary European Culture in Historical Perspective Standard
EURO2201,Civilisation and Barbarism in European Cultural History Standard
EURO2209,Utopia Imagination and Modernity in European Culture Standard
EURO3301,The European Individual Standard
FINA1109,Managing Your Personal Finance Standard
FINA1221,Introduction to Finance Standard
FINA2204,Derivative Products and Markets Standard
FINA2205,Quantitative Methods for Finance Standard
FINA2207,Business Analysis and Valuation Standard
FINA2209,Financial Planning Standard
FINA2222,Corporate Financial Policy
FINA2222,Corporate Financial Policy Standard
FINA3304,Banking: Theory and Practice Standard
FINA3306,Derivative Strategies and Pricing Standard
FINA3307,Trading in Securities Markets Standard
FINA3324,Investment Analysis Standard
FINA3326,Applied Financial Management Standard
FINA4401,Microstructure of Financial Markets Standard
FINA4482,Advanced Corporate Finance Standard
FINA4491,Capital Markets Research Standard
FINA5432,Introduction to Finance Standard
FINA5520,Risk Management and Financial Instruments Standard
FINA5521,Quantitative Methods in Finance Standard
FINA5523,Financial Statement Analysis and Business Valuation Standard
FINA5527,Private Wealth Management and Venture Capital Standard
FINA5530,Managerial Finance
FINA5602,Strategic Corporate Finance
FINA5603,Mergers and Acquisitions
FINA5631,International Financial Analysis Standard
FINA5632,Investments Standard
FINA5635,Corporate Finance Standard
FNSC2200,Mysteries of Forensic Science Standard
FREN1401,French Studies 1 Standard
FREN1402,French Studies 2 Standard
FREN2404,French Studies 4 Standard
FREN2812,French Studies 12 Standard
FREN3814,Specialist French Studies 14 Standard
GEND1901,Gender in Australia Standard
GEND2901,Sex Bodies and Spaces Standard
GEND2902,Men and Masculinities In History Standard
GEND3901,Feminist Thought Standard
GENE2230,Molecular Genetics I Standard
GENE3340,Molecular Genetics II Standard
GENE3350,Evolution and Development Standard
GENE3370,Genomics Standard
GENG4402,Control Engineering Standard
GENG4403,Extractive Metallurgy Standard
GENG4405,Numerical Methods and Modelling Standard
GENG4407,Advanced Engineering Mathematics Standard
GENG5501,Coastal and Offshore Engineering Standard
GENG5503,Modern Control Systems Standard
GENG5504,Petroleum Engineering Standard
GENG5505,Project Management and Engineering Practice Standard
GENG5506,Renewable Energy Standard
GENG5508,Robotics Standard
GENG5514,Finite Element Methods Standard
GEOG1101,Geographies of Global Cities Standard
GEOG1102,Globalisation Environment and Development Standard
GEOG2201,Geographic Information Systems Standard
GEOG2204,International Field Work in Geography Standard
GEOG2205,Geographies of Economic Development Standard
GEOG2206,Social Geography and Planning Standard
GEOG3302,Geographic Environment and Planning Fieldwork Standard
GEOG3304,Environmental Change Standard
GEOG3306,Regional Development and Planning Standard
GEOG3307,Coastal Environments Standard
GEOG4001,Social Demography and Development
GEOG4011,Honours Research Project in Geography Environment and Planning Part 1 Standard
GEOG5004,Place-based Development
GEOS4402,Hydrogeological Impact Assessment
GEOS4498,Special Unit: Fundamentals of Sedimentology
GEOS4499,Land and Water Fundamentals Standard
GEOS5501,Advanced Hydrogeology
GEOS5504,Mining Hydrogeology
GEOS5507,Analytical Techniques for the Geosciences
GRMN1401,German Studies 1 Standard
GRMN1402,German Studies 2 Standard
GRMN1404,German Studies 4 Standard
GRMN1406,German Studies 6 Standard
GRMN2812,German Studies 12 Standard
HART1000,Great Moments in Art Standard
HART1001,Art Technology and Society Standard
HART2207,Art of the Counter-Reformation Standard
HART2222,Contemporary Art Standard
HART2223,Modernism and the Visual Arts Standard
HART2274,Introduction to Museum and Curatorial Studies Standard
HART2275,Italian Renaissance Art and Architecture Standard
HART3301,The Art of Manet and His Circle Standard
HART3302,Michelangelo Standard
HART3310,Art and Games: from Dada to Data Standard
HART3330,Art Theory Standard
HART3333,The Shifting Subject: Portraiture in Nineteenth-Century Europe Standard
HART3361,The Dutch Golden Age and the Art of Exploration Standard
HERI5101,Debates in Contemporary Heritage Studies
HERI5102,Foundations in Heritage Management Standard
HERI5103,The Business of Sustainable Heritage
HIST2011,From 'Glorious Revolution' to Industrial Revolution: Making Britain 1688-1888 Standard
HIST3016,Eyewitness to the Past: Photography and History Standard
HIST4101,Historiography Standard
HIST4103,Topics in Australian History
HIST4104,Topics in Global History Standard
HRMT2237,Human Resource Management
HRMT3344,Staffing Organisations Standard
HRMT3345,Managing Jobs Performance and Wellbeing Standard
HRMT5504,Introduction to Human Resource Management Standard
HRMT5518,Strategic Human Resource Management Standard
HRMT5530,Developing a Professional HR Career Standard
HSMD3316,Health Industry Practicum Standard
HUMA1901,English Language and Academic Communication I Standard
HUMA1902,English Language and Academic Communication II Standard
IDES1040,Techniques of Visualisation Standard
IDES2000,Integrated Design Studio 2 - Making Standard
IDES2040,Future Making Standard
IDES3000,Integrated Design Studio 3 - Complex Standard
IDES3010,Advanced Design Thinking Standard
IMED1108,Issues in Women's Health Across the Lifespan Standard
IMED2200,Mental Wellbeing for Today's World Standard
IMED4111,Foundations of Medical Practice
IMED4121,Systems-based Learning 1
IMED4211,Systems-based Learning 2
IMED4221,Integrated Medical Practice 1
IMED5805,Innovation and Contemporary Issues in Health Professions Education Standard
IMED6632,Rural General Practice Part 2 Standard
INDG1150,Aboriginal Encounters: Strangers in our Backyard Standard
INDG1160,Boodjar Moort Katitjin: Introduction to Indigenous Heritage and Knowledge Standard
INDG2300,Indigenous Knowledge: Mind Body Spirit Standard
INDG2500,Looking North: The Wild West Standard
INDG2700,Knowing Country: The Dreaming and Darwin Standard
INDG3400,Indigenous People and Global Issues Standard
INDO1402,Indonesian 2 Standard
INMT5501,Enterprise Information Systems Standard
INMT5504,Business Process Management Standard
INMT5518,Models for Logistics Operations and Services Standard
INMT5526,Business Intelligence Standard
INMT5620,Management of Information Systems Standard
ITAL1401,Italian Studies 1 Standard
ITAL1402,Italian Studies 2 Standard
ITAL1404,Italian Studies 4 Standard
ITAL1406,Italian Studies 6 Standard
ITAL2408,Italian Studies 8 Standard
ITAL2812,Italian Studies 12 Standard
ITAL3814,Italian Studies 14 Standard
JAPN1402,Japanese 2 Standard
JAPN1404,Japanese 4 Standard
JAPN1406,Japanese 6 Standard
JAPN2408,Japanese 8 Standard
KORE1402,Korean 2 Standard
KORE2402,Korean 4 Standard
KORE2811,Readings in Korean Language and Culture Standard
KORE3405,Korean 5 Standard
KORE3406,Korean 6 Standard
LACH1020,The Culture of Nature Standard
LACH2030,Site Manipulation Standard
LACH5414,Landscape Professional Documents Standard
LAWS1104,Introduction to Law Standard
LAWS1110,Crime and Society Standard
LAWS1111,Law Conflict and Change Standard
LAWS1120,Australian Legal Principles and Institutions Standard
LAWS2201,Legal Framework of Business Standard
LAWS2206,Taxation Law Standard
LAWS2223,Criminal Justice System Standard
LAWS2224,Evolution of Human Rights Standard
LAWS2225,Indigenous Peoples and the Law Standard
LAWS2226,International Legal Institutions Standard
LAWS2227,Law in Action Standard
LAWS2301,Company Law Standard
LAWS2309,Work and the Law Standard
LAWS3221,Creative Expression and the Law Standard
LAWS3302,Environmental Law Standard
LAWS3306,Finance Law Standard
LAWS3307,International Commercial Arbitration
LAWS3308,Marketing Management and the Law Standard
LAWS3310,Evidence Standard
LAWS3313,Legal Issues for Not-for-Profit Entities
LAWS3320,Legislation in Practice Standard
LAWS3322,Corporations Law Standard
LAWS3327,Advanced Evidence and Proof
LAWS3328,International Commercial Law Standard
LAWS3330,Gender and the Law Standard
LAWS3334,Law and Religion Standard
LAWS3338,Introduction to Intellectual Property Standard
LAWS3340,Conflict of Laws Standard
LAWS3344,Law and Contemporary Social Issues Standard
LAWS3360,Employment Law
LAWS3366,Forensic Advocacy
LAWS3370,Consumer Law Standard
LAWS3371,Mining and Energy Law Standard
LAWS3376,Introduction to Family Law Standard
LAWS3378,Government Accountability - Law and Practice
LAWS3391,Special Unit: Law and Religion Standard
LAWS4021,Procedure Part 1 Standard
LAWS4022,Procedure Part 2 Standard
LAWS4101,Legal Process Standard
LAWS4102,Criminal Law Standard
LAWS4104,Property Standard
LAWS4106,Torts Standard
LAWS4108,Foundations of Public Law Standard
LAWS4404,Legal Theory and Ethics Standard
LAWS5105,Remedies Standard
LAWS5106,Legal Theory and Ethics Standard
LAWS5110,International Negotiation Practice and Skills
LAWS5111,Corporate Governance for Resources Companies
LAWS5158,Negotiation and Mediation
LAWS5167,Comparative Law Standard
LAWS5174,Legal Internship Standard
LAWS5210,Working with China: Business in a Socio-legal Context
LAWS5211,Intellectual Property and China's Innovation-based Economy
LAWS5214,Public Policy
LAWS5227,Foundations of Law and Governance
LAWS5237,Advanced Australian International Taxation
LAWS5250,Foundations of International Commercial Law
LAWS5251,International Sales Law
LAWS5305,Mediation: Practice and Skills
LAWS5398,Special unit: Construction Law
LAWS5508,Commercial and Company Law Standard
LAWS5517,Mining Law
LAWS5528,Unjust Enrichment and Restitution
LAWS5532,Oil and Gas Agreements
LAWS5534,Indigenous Peoples and the Law Standard
LAWS5540,Environmental Protection Law
LAWS6167,Comparative Law Standard
LAWS6700,Indigenous Peoples and the Law Standard
LING1001,Language and Communication Standard
LING1002,Language as a Cognitive System Standard
LING1901,Language Learning and the Multilingual World Standard
LING2001,Grammatical Theory: the Structure of Sentences Standard
LING2002,Phonetics and Phonology: the Sounds of the World's Languages Standard
LING2003,Language Culture and Society Standard
LING3001,Morphology: the Structure of Words Standard
LING3003,Historical Linguistics: Language History and Language Change Standard
LING3006,Topics in Linguistic Theory Standard
LING4101,Research in Linguistics Standard
LING4102,Language Description and Documentation Standard
LING4103,Methods in Sociolinguistic Research Standard
MATH0038,Mathematical Analysis Standard
MATH2021,Introduction to Applied Mathematics Standard
MATH2031,Introduction to Pure Mathematics Standard
MATH2501,Mathematical Methods 3 Standard
MATH3021,Dynamics and Control Standard
MATH3022,Scientific and Industrial Modelling Standard
MATH3031,Algebraic Structures and Symmetry Standard
MATH3032,Analysis and Geometry Standard
MATH4403,Advanced Mathematics 1 Standard
MECH4424,Measurement and Noise Standard
MECH4426,Dynamics Vibration and Sound Standard
MECH4428,Degradation of Materials Standard
MECH4429,Applied Engineering Thermodynamics Standard
MECH5501,Advanced Vibration and Sound Standard
MECH5502,Analysis and Design of Machine Components Standard
MECH5504,Design and Failure Analysis of Materials Standard
MECH5551,Mechanical Engineering Design Project 1 Standard
MECH5552,Mechanical Engineering Design Project 2 Standard
MEMS2001,Classical Traditions and Transformations in Medieval and Early Modern Europe Standard
MGMT1135,Organisational Behaviour Standard
MGMT1136,Management and Organisations Standard
MGMT2311,Organisational Learning and Innovation Standard
MGMT3302,Leadership and Performance Standard
MGMT3304,Applied International Business Strategy Standard
MGMT3308,Supply Chain Management Standard
MGMT3342,Entrepreneurship Standard
MGMT3346,Managing Organisational Change Standard
MGMT3347,Strategic Management Standard
MGMT5501,Organisational Behaviour
MGMT5504,Data Analysis and Decision Making Standard
MGMT5506,Ethics and Sustainability Management Standard
MGMT5507,Management and Organisations Standard
MGMT5508,Organisational Behaviour and Leadership Standard
MGMT5511,Introduction to Global Business Standard
MGMT5513,Data Driven Decision Making
MGMT5514,Demonstrating Social Impact
MGMT5516,Social Impact: Entrepreneurs and Social Innovation
MGMT5517,Leadership for Social Impact
MGMT5518,Social Investment and Philanthropy
MGMT5520,Legal Principles for Management
MGMT5521,Operations and Strategic Supply Chain Management
MGMT5522,Leading Global Collaborations
MGMT5523,Becoming a Leader: Perspectives on Leadership Development
MGMT5524,Strategic Management of Resource Companies
MGMT5601,Small Business Management
MGMT5610,Applied Professional Business Communications Standard
MGMT5618,International Study Program
MGMT5647,Negotiation Behaviour
MGMT5665,Project Management
MGMT5700,Strategic Management
MGMT6791,Business Research: Principles and Processes
MGMT6792,Quantitative Methods in Business Research
MGMT6793,Qualitative Methods in Business Research
MICR2209,Introduction to Infectious Diseases and Immunology Standard
MICR3320,Viruses and Viral Disease Standard
MICR3330,Bacteria and Bacterial Disease Standard
MICR3340,Immunity and Infection Standard
MICR3350,Advanced Infectious Diseases Standard
MICR5814,Epidemiology and Infection Standard
MICR5829,Foundations of Infectious Diseases Standard
MICR5830,Principles of Mycology and Parasitology Standard
MICR5831,Molecular and Cellular Microbiology Part 1 Standard
MICR5832,Diagnostic Medical Microbiology Standard
MICR5833,Antimicrobial Agents Standard
MICR5834,Tropical Travel and Remote Area Infectious Diseases Standard
MICR5835,Vectors of Infectious Diseases and Vector Control Standard
MICR5836,Public and Environmental Health Microbiology Standard
MICR5842,Principles of Infection and Immunity Standard
MINE4404,Rock Mechanics Standard
MINE4503,Surface Mining Standard
MINE5502,Underground Mining 2 Standard
MINE5551,Mining Engineering Design Project 1 Standard
MING5501,Applied Structural Geology
MING5505,Mineral Exploration Data Analysis
MKTG1203,Marketing Management Standard
MKTG1204,Consumer Behaviour Standard
MKTG2238,Advertising and Promotion Standard
MKTG2305,Marketing Research Standard
MKTG3301,Marketing Applications Standard
MKTG3303,New Product Development and Commercialisation Standard
MKTG3306,Strategic Marketing Standard
MKTG3307,Contemporary Marketing Issues Standard
MKTG3310,International Marketing Standard
MKTG3311,Services Marketing Standard
MKTG4401,Advanced Readings and Topics in Marketing Standard
MKTG5406,Buyer Behaviour and Decision Making Standard
MKTG5408,Marketing Analysis and Planning Standard
MKTG5462,Global Marketing Strategy Standard
MKTG5505,Marketing and Society Standard
MKTG5550,Marketing Principles
MKTG5561,Marketing Management Standard
MKTG5578,Client Management Standard
MSCI4006,Advanced Techniques in Molecular Sciences Standard
MUSC1310,Communication Skills in Music Standard
MUSC1321,Music Language 1 Standard
MUSC1322,Music Language 2 Standard
MUSC1350,Popular Music in Global Perspective Standard
MUSC1981,Music Ensemble 1 Standard
